run,tag,step,value
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,49,0.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,99,0.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,112,0.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,149,1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,199,1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,225,1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,249,2.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,299,2.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,338,2.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,349,3.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,399,3.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,449,3.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,451,3.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,499,4.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",epoch,549,4.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",hp_metric,0,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",hp_metric,112,5.909855826757848e-05
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",hp_metric,225,7.514983008150011e-05
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",hp_metric,338,0.0005829297588206828
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",hp_metric,451,0.0049632852897048
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg1,0,1.6914184016059153e-05
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg1,113,0.0006098507437855005
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg1,226,0.0015041609294712543
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg1,339,0.0016021077753975987
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg1,452,0.0015739473747089505
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg2,0,1.6914184016059153e-05
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg2,113,0.0006098507437855005
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg2,226,0.0015041609294712543
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg2,339,0.0016021077753975987
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",lr-SGD/pg2,452,0.0015739473747089505
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map,112,5.909855826757848e-05
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map,225,7.514983008150011e-05
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map,338,0.0005829297588206828
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map,451,0.0049632852897048
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_50,112,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_50,225,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_50,338,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_50,451,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_75,112,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_75,225,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_75,338,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_75,451,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_large,112,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_large,225,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_large,338,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_large,451,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_medium,112,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_medium,225,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_medium,338,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_medium,451,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_per_class,112,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_per_class,225,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_per_class,338,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_per_class,451,-1.0
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_small,112,5.909855826757848e-05
"CropOrWeed2/Trial-yolov7-tiny_640px_lr=0.0016cycle(95, 125, 95, 0.12)/version_0",map_small,225,7.514983008150011e-05
